unknown	26407/udp	0.001961
unknown	26415/udp	0.001961
unknown	26720/udp	0.001961
unknown	26872/udp	0.001961
unknown	26966/udp	0.001961
unknown	27473/udp	0.001961
unknown	27482/udp	0.001961
unknown	27707/udp	0.001961
unknown	27899/udp	0.001961
unknown	28122/udp	0.001961
unknown	28369/udp	0.001961
unknown	28465/udp	0.001961
unknown	28493/udp	0.001961
unknown	28543/udp	0.001961
unknown	28641/udp	0.001961
unknown	28840/udp	0.001961
unknown	28973/udp	0.001961
unknown	29078/udp	0.001961
unknown	29243/udp	0.001961
unknown	29256/udp	0.001961
unknown	29810/udp	0.001961
unknown	29977/udp	0.001961
unknown	30263/udp	0.001961
unknown	30544/udp	0.001961
unknown	30656/udp	0.001961
unknown	30697/udp	0.001961
unknown	30704/udp	0.001961
unknown	30975/udp	0.001961
unknown	31059/udp	0.001961
unknown	31109/udp	0.001961
unknown	31189/udp	0.001961
unknown	31195/udp	0.001961
unknown	31365/udp	0.001961
unknown	31625/udp	0.001961
unknown	31731/udp	0.001961
unknown	32345/udp	0.001961
unknown	32385/udp	0.001961
unknown	32528/udp	0.001961
alta-ana-lm	1346/udp	0.001928
fpo-fns	1066/tcp	0.001901
cognex-insight	1069/tcp	0.001901
ftp-data	20/udp	0.001878
apple-xsrvr-admin	625/tcp	0.001869
asip-webadmin	311/tcp	0.001857
compressnet	2/udp	0.001845
http-mgmt	280/tcp	0.001844
unknown	254/tcp	0.001832
sometimes-rpc24	32780/udp	0.001812
cycleserv2	772/udp	0.001796
fasttrack	1214/udp	0.001796
remoteanything	4000/tcp	0.001794
snmp-tcp-port	1993/udp	0.001779
landesk-rc	1761/tcp	0.001756
filemaker	5003/tcp	0.001756
globe	2002/tcp	0.001744
x25-svc-port	1998/tcp	0.001731
deslogin	2005/tcp	0.001731
genie	402/udp	0.001730
iad3	1032/tcp	0.001719
notify	773/udp	0.001713
Trinoo_Register	31335/udp	0.001706
java-or-OTGfileshare	1050/tcp	0.001669
acmaint_dbd	774/udp	0.001664
dtspc	6112/tcp	0.001656
unknown	814/udp	0.001652
unknown	838/udp	0.001652
ideafarm-panic	903/udp	0.001652
unknown	965/udp	0.001652
unknown	1007/udp	0.001652
wfremotertm	1046/udp	0.001652
cma	1050/udp	0.001652
remote-as	1053/udp	0.001652
ansyslmd	1055/udp	0.001652
startron	1057/udp	0.001652
polestar	1060/udp	0.001652
pvuniwien	1081/udp	0.001652
mctp	1100/udp	0.001652
ftranhc	1105/udp	0.001652
hpvmmcontrol	1124/udp	0.001652
search-agent	1234/udp	0.001652
enl	1804/udp	0.001652
nati-logos	2343/udp	0.001652
ups-engine	3664/udp	0.001652
X11:2	6002/udp	0.001652
x11	6050/udp	0.001652
irdmi	8000/udp	0.001652
unknown	8010/udp	0.001652
cslistener	9000/udp	0.001652
etlservicemgr	9001/udp	0.001652
unknown	9877/udp	0.001652
nimreg	1059/udp	0.001647
ingreslock	1524/udp	0.001647
rplay	5555/udp	0.001615
svn	3690/tcp	0.001597
telelpathstart	5010/udp	0.001582
sometimes-rpc20	32778/udp	0.001577
oracle	1521/tcp	0.001568
Trinoo_Bcast	27444/udp	0.001554
unknown	32798/udp	0.001554
unknown	33030/udp	0.001554
unknown	33249/udp	0.001554
unknown	33459/udp	0.001554
unknown	33717/udp	0.001554
unknown	33866/udp	0.001554
unknown	33872/udp	0.001554
unknown	34038/udp	0.001554
unknown	34079/udp	0.001554
unknown	34358/udp	0.001554
unknown	34422/udp	0.001554
unknown	34433/udp	0.001554
unknown	34570/udp	0.001554
unknown	34577/udp	0.001554
unknown	34578/udp	0.001554
unknown	34579/udp	0.001554
unknown	34580/udp	0.001554
unknown	34758/udp	0.001554
unknown	34796/udp	0.001554
unknown	34855/udp	0.001554
unknown	35702/udp	0.001554
unknown	35794/udp	0.001554
unknown	36108/udp	0.001554
unknown	36384/udp	0.001554
unknown	36458/udp	0.001554
unknown	36489/udp	0.001554
unknown	36669/udp	0.001554
unknown	36778/udp	0.001554
unknown	36893/udp	0.001554
unknown	36945/udp	0.001554
unknown	37144/udp	0.001554
unknown	37212/udp	0.001554
unknown	37393/udp	0.001554
unknown	37602/udp	0.001554
unknown	37761/udp	0.001554
unknown	37783/udp	0.001554
unknown	37813/udp	0.001554
unknown	37843/udp	0.001554
unknown	38063/udp	0.001554
unknown	38412/udp	0.001554
unknown	38498/udp	0.001554
unknown	38615/udp	0.001554
unknown	39217/udp	0.001554
unknown	39632/udp	0.001554
unknown	39683/udp	0.001554
unknown	39714/udp	0.001554
unknown	39723/udp	0.001554
unknown	40019/udp	0.001554
unknown	40539/udp	0.001554
unknown	40622/udp	0.001554
unknown	40711/udp	0.001554
unknown	40724/udp	0.001554
unknown	40805/udp	0.001554
unknown	40847/udp	0.001554
unknown	40866/udp	0.001554
unknown	41308/udp	0.001554
unknown	41446/udp	0.001554
unknown	41638/udp	0.001554
unknown	41702/udp	0.001554
unknown	41774/udp	0.001554
unknown	41896/udp	0.001554
unknown	41967/udp	0.001554
unknown	41971/udp	0.001554
unknown	42056/udp	0.001554
unknown	42313/udp	0.001554
unknown	42431/udp	0.001554
unknown	42434/udp	0.001554
unknown	42557/udp	0.001554
unknown	42577/udp	0.001554
unknown	42627/udp	0.001554
unknown	42639/udp	0.001554
unknown	43094/udp	0.001554
unknown	43195/udp	0.001554
unknown	43370/udp	0.001554
unknown	43514/udp	0.001554
unknown	43686/udp	0.001554
unknown	43824/udp	0.001554
unknown	43967/udp	0.001554
unknown	44101/udp	0.001554
unknown	44160/udp	0.001554
unknown	44179/udp	0.001554
unknown	44185/udp	0.001554
unknown	44190/udp	0.001554
unknown	44253/udp	0.001554
unknown	44334/udp	0.001554
unknown	44508/udp	0.001554
unknown	44923/udp	0.001554
unknown	44946/udp	0.001554
unknown	45247/udp	0.001554
unknown	45380/udp	0.001554
unknown	45685/udp	0.001554
unknown	45722/udp	0.001554
unknown	45818/udp	0.001554
unknown	45928/udp	0.001554
unknown	46093/udp	0.001554
unknown	46532/udp	0.001554
unknown	46836/udp	0.001554
unknown	47765/udp	0.001554
unknown	47772/udp	0.001554
bacnet	47808/udp	0.001554
unknown	47915/udp	0.001554
unknown	47981/udp	0.001554
unknown	48078/udp	0.001554
unknown	48189/udp	0.001554
unknown	48255/udp	0.001554
unknown	48455/udp	0.001554
unknown	48489/udp	0.001554
unknown	48761/udp	0.001554
confluent	1484/udp	0.001549
compressnet	3/udp	0.001532
apc-agent	2161/tcp	0.001521
socks	1080/tcp	0.001518
X11:2	6002/tcp	0.001518
instl_boots	1067/udp	0.001516
unknown	49155/udp	0.001506
unknown	49177/udp	0.001506
unknown	49178/udp	0.001506
unknown	49214/udp	0.001506
unknown	49216/udp	0.001506
unknown	49220/udp	0.001506
unknown	49222/udp	0.001506
unknown	49226/udp	0.001506
unknown	49259/udp	0.001506
unknown	49262/udp	0.001506
unknown	49306/udp	0.001506
unknown	49350/udp	0.001506
unknown	49360/udp	0.001506
unknown	49393/udp	0.001506
unknown	49396/udp	0.001506
unknown	49640/udp	0.001506
unknown	49968/udp	0.001506
unknown	50099/udp	0.001506
unknown	50164/udp	0.001506
unknown	50497/udp	0.001506
unknown	50708/udp	0.001506
unknown	50919/udp	0.001506
unknown	51255/udp	0.001506
unknown	51456/udp	0.001506
unknown	51554/udp	0.001506
unknown	51586/udp	0.001506
unknown	51690/udp	0.001506
unknown	51905/udp	0.001506
unknown	51972/udp	0.001506
unknown	52144/udp	0.001506
unknown	53006/udp	0.001506
unknown	53037/udp	0.001506
unknown	53589/udp	0.001506
unknown	53838/udp	0.001506
unknown	54094/udp	0.001506
unknown	54114/udp	0.001506
unknown	54711/udp	0.001506
unknown	54807/udp	0.001506
unknown	54925/udp	0.001506
unknown	55043/udp	0.001506
unknown	55544/udp	0.001506
unknown	55587/udp	0.001506
unknown	57172/udp	0.001506
unknown	57409/udp	0.001506
unknown	57410/udp	0.001506
unknown	57813/udp	0.001506
unknown	57843/udp	0.001506
unknown	57958/udp	0.001506
unknown	57977/udp	0.001506
unknown	58075/udp	0.001506
unknown	58178/udp	0.001506
unknown	58419/udp	0.001506
unknown	58797/udp	0.001506
unknown	59193/udp	0.001506
unknown	59207/udp	0.001506
unknown	59765/udp	0.001506
unknown	59846/udp	0.001506
unknown	60172/udp	0.001506
unknown	60381/udp	0.001506
unknown	60423/udp	0.001506
unknown	61024/udp	0.001506
unknown	61142/udp	0.001506
unknown	61319/udp	0.001506
unknown	61322/udp	0.001506
unknown	61412/udp	0.001506
unknown	61481/udp	0.001506
unknown	61550/udp	0.001506
unknown	61685/udp	0.001506
unknown	61961/udp	0.001506
unknown	62154/udp	0.001506
unknown	62575/udp	0.001506
unknown	62677/udp	0.001506
unknown	62699/udp	0.001506
unknown	62958/udp	0.001506
unknown	63420/udp	0.001506
unknown	64080/udp	0.001506
unknown	64481/udp	0.001506
unknown	64590/udp	0.001506
unknown	64727/udp	0.001506
cvspserver	2401/tcp	0.001480
iss-realsecure	902/tcp	0.001468
lockd	4045/tcp	0.001468
nim	1058/udp	0.001466
qsc	787/tcp	0.001455
nsrexecd	7937/tcp	0.001455
edonkey	4666/udp	0.001450
teedtap	559/udp	0.001433
vat-control	3457/udp	0.001433
esl-lm	1455/udp	0.001417
nim	1058/tcp	0.001380
ms-olap4	2383/tcp	0.001369
netcheque	4008/udp	0.001367
sometimes-rpc5	32771/tcp	0.001367
at-7	207/udp	0.001351
omserv	764/udp	0.001351
netinfo	1033/tcp	0.001342
netsaint	1040/tcp	0.001342
nimreg	1059/tcp	0.001342
valisys-lm	1457/udp	0.001334
msdp	639/udp	0.001321
rmc	657/udp	0.001321
